Name,ApplicableClasses
Pset_FilterTypeCommon,IfcFilterType
Pset_FireRatingProperties,IfcSpatialStructureElement;IfcElement
Pset_FireSuppressionTerminalTypeBreechingInlet,IfcFireSuppressionTerminalType
Pset_FireSuppressionTerminalTypeFireHydrant,IfcFireSuppressionTerminalType
Pset_FireSuppressionTerminalTypeHoseReel,IfcFireSuppressionTerminalType
Pset_FireSuppressionTerminalTypeSprinkler,IfcFireSuppressionTerminalType
Pset_FlowControllerDamper,IfcFlowController
Pset_FlowControllerFlowMeter,IfcFlowController
Pset_FlowFittingDuctFitting,IfcFlowFitting
Pset_FlowFittingPipeFitting,IfcFlowFitting
Pset_FlowInstrumentTypePressureGauge,IfcFlowInstrumentType
Pset_FlowInstrumentTypeThermometer,IfcFlowInstrumentType
Pset_FlowMeterTypeCommon,IfcFlowMeterType
Pset_FlowMeterTypeEnergyMeter,IfcFlowMeterType
Pset_FlowMeterTypeGasMeter,IfcFlowMeterType
Pset_FlowMeterTypeOilMeter,IfcFlowMeterType
Pset_FlowMeterTypeWaterMeter,IfcFlowMeterType
Pset_FlowMovingDeviceCompressor,IfcFlowMovingDevice
Pset_FlowMovingDeviceFan,IfcFlowMovingDevice
Pset_FlowMovingDeviceFanCentrifugal,IfcFlowMovingDevice
Pset_FlowMovingDevicePump,IfcFlowMovingDevice
Pset_FlowSegmentDuctSegment,IfcFlowSegment
Pset_FlowSegmentPipeSegment,IfcFlowSegment
Pset_FlowStorageDeviceTank,IfcFlowStorageDevice
Pset_FlowTerminalAirTerminal,IfcFlowTerminal
Pset_FurnitureTypeChair,IfcFurnitureType
Pset_FurnitureTypeCommon,IfcFurnitureType
Pset_FurnitureTypeDesk,IfcFurnitureType
Pset_FurnitureTypeFileCabinet,IfcFurnitureType
Pset_FurnitureTypeTable,IfcFurnitureType
Pset_GasTerminalPHistory,IfcPerformanceHistory
Pset_GasTerminalTypeCommon,IfcGasTerminalType
Pset_GasTerminalTypeGasAppliance,IfcGasTerminalType
Pset_GasTerminalTypeGasBurner,IfcGasTerminalType
Pset_HeatExchangerTypeCommon,IfcHeatExchangerType
Pset_HeatExchangerTypePlate,IfcHeatExchangerType
Pset_HumidifierPHistory,IfcPerformanceHistory
Pset_HumidifierTypeCommon,IfcHumidifierType
Pset_LampTypeCommon,IfcLampType
Pset_LightFixtureTypeCommon,IfcLightFixtureType
Pset_LightFixtureTypeExitSign,IfcLightFixtureType
Pset_LightFixtureTypeThermal,IfcLightFixtureType
Pset_ManufacturerOccurrence,IfcElement
Pset_ManufacturerTypeInformation,IfcElement
Pset_MemberCommon,IfcMember
Pset_MultiStateInput,IfcDistributionControlElement
Pset_MultiStateOutput,IfcDistributionControlElement
Pset_OpeningElementCommon,IfcOpeningElement
Pset_OutletTypeCommon,IfcOutletType
Pset_OutsideDesignCriteria,IfcBuilding
Pset_PackingInstructions,IfcProduct
Pset_Permit,IfcPermit
Pset_PipeConnection,IfcDistributionElement
Pset_PipeConnectionFlanged,IfcDistributionElement
Pset_PipeFittingPHistory,IfcPerformanceHistory
Pset_PipeFittingTypeCommon,IfcPipeFittingType
Pset_PipeSegmentPHistory,IfcPerformanceHistory
Pset_PipeSegmentTypeCommon,IfcPipeSegmentType
Pset_PipeSegmentTypeGutter,IfcPipeSegmentType
Pset_PlateCommon,IfcPlate
Pset_PrecastConcreteElementGeneral,IfcBeam;IfcBuildingElementPart;IfcBuildingElementProxy;IfcColumn;IfcCovering;IfcCurtainWall;IfcDoor;IfcFooting;IfcMember;IfcPile;IfcRailing;IfcRamp;IfcRampFlight;IfcRoof;IfcSlab;IfcStair;IfcStairFlight;IfcWall;IfcWallStandardCase

Pset_ProductRequirements,IfcProduct
Pset_ProjectCommon,IfcProject
Pset_ProjectionElementShadingDevicePHistory,IfcPerformanceHistory
Pset_ProjectOrderChangeOrder,IfcProjectOrder
Pset_ProjectOrderMaintenanceWorkOrder,IfcProjectOrder
Pset_ProjectOrderMoveOrder,IfcProjectOrder
Pset_ProjectOrderPurchaseOrder,IfcProjectOrder
Pset_ProjectOrderWorkOrder,IfcProjectOrder
Pset_PropertyAgreement,IfcSpatialStructureElement
Pset_ProtectiveDeviceTypeCircuitBreaker,IfcProtectiveDeviceType
Pset_ProtectiveDeviceTypeCommon,IfcProtectiveDeviceType
Pset_ProtectiveDeviceTypeEarthFailureDevice,IfcProtectiveDeviceType
Pset_ProtectiveDeviceTypeFuseDisconnector,IfcProtectiveDeviceType
Pset_ProtectiveDeviceTypeResidualCurrentCircuitBreaker,IfcProtectiveDeviceType
Pset_ProtectiveDeviceTypeResidualCurrentSwitch,IfcProtectiveDeviceType
Pset_ProtectiveDeviceTypeVaristor,IfcProtectiveDeviceType
Pset_PumpPHistory,IfcPerformanceHistory
Pset_PumpTypeCommon,IfcPumpType
Pset_QuantityTakeOff,IfcElement
Pset_RailingCommon,IfcRailing
Pset_RampCommon,IfcRamp
Pset_RampFlightCommon,IfcRampFlight
Pset_ReinforcementBarCountOfIndependentFooting,IfcFooting
Pset_ReinforcementBarPitchOfBeam,IfcBeam
Pset_ReinforcementBarPitchOfColumn,IfcColumn
Pset_ReinforcementBarPitchOfContinuousFooting,IfcFooting
Pset_ReinforcementBarPitchOfSlab,IfcSlab
Pset_ReinforcementBarPitchOfWall,IfcWall
Pset_ReinforcingBarBendingsBECCommon,IfcReinforcingBar;IfcReinforcingMesh
Pset_ReinforcingBarBendingsBS8666Common,IfcReinforcingBar
Pset_ReinforcingBarBendingsDIN135610Common,IfcReinforcingBar
Pset_ReinforcingBarBendingsISOCD3766Common,IfcReinforcingBar
Pset_Reliability,IfcProduct
Pset_Risk,IfcObject
Pset_RoofCommon,IfcRoof
Pset_SanitaryTerminalTypeBath,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeBidet,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeCistern,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeSanitaryFountain,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeShower,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeSink,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeToiletPan,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeUrinal,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeWashHandBasin,IfcSanitaryTerminalType
Pset_SanitaryTerminalTypeWCSeat,IfcSanitaryTerminalType
Pset_SensorTypeCO2Sensor,IfcSensorType
Pset_SensorTypeFireSensor,IfcSensorType
Pset_SensorTypeGasSensor,IfcSensorType
Pset_SensorTypeHeatSensor,IfcSensorType
Pset_SensorTypeHumiditySensor,IfcSensorType
Pset_SensorTypeLightSensor,IfcSensorType
Pset_SensorTypeMovementSensor,IfcSensorType
Pset_SensorTypePressureSensor,IfcSensorType
Pset_SensorTypeSmokeSensor,IfcSensorType
Pset_SensorTypeSoundSensor,IfcSensorType
Pset_SensorTypeTemperatureSensor,IfcSensorType
Pset_SiteCommon,IfcSite
Pset_SlabCommon,IfcSlab
Pset_SpaceCommon,IfcSpace
Pset_SpaceFireSafetyRequirements,IfcSpace;IfcZone
Pset_SpaceHeaterPHistoryCommon,IfcPerformanceHistory
Pset_SpaceHeaterTypeCommon,IfcSpaceHeaterType
Pset_SpaceHeaterTypeHydronic,IfcSpaceHeaterType
Pset_SpaceLightingRequirements,IfcSpace;IfcZone
Pset_SpaceOccupancyRequirements,IfcSpace;IfcZone
Pset_SpaceParking,IfcSpace
Pset_SpaceParkingAisle,IfcSpace
Pset_SpaceProgramCommon,IfcSpaceProgram
Pset_SpaceThermalDesign,IfcSpace
Pset_SpaceThermalPHistory,IfcPerformanceHistory
Pset_SpaceThermalRequirements,IfcSpace;IfcZone
Pset_StairCommon,IfcStair
Pset_StairFlightCommon,IfcStairFlight
Pset_SwitchingDeviceTypeCommon,IfcSwitchingDeviceType
Pset_SwitchingDeviceTypeContactor,IfcSwitchingDeviceType
Pset_SwitchingDeviceTypeEmergencyStop,IfcSwitchingDeviceType
Pset_SwitchingDeviceTypeStarter,IfcSwitchingDeviceType
Pset_SwitchingDeviceTypeSwitchDisconnector,IfcSwitchingDeviceType
Pset_SwitchingDeviceTypeToggleSwitch,IfcSwitchingDeviceType
Pset_SystemFurnitureElementTypeCommon,IfcSystemFurnitureElementType
Pset_SystemFurnitureElementTypePanel,IfcSystemFurnitureElementType
Pset_SystemFurnitureElementTypeWorkSurface,IfcSystemFurnitureElementType
Pset_TankTypeCommon,IfcTankType
Pset_TankTypeExpansion,IfcTankType
Pset_TankTypePreformed,IfcTankType
Pset_TankTypePressureVessel,IfcTankType
Pset_TankTypeSectional,IfcTankType
Pset_ThermalLoadAggregate,IfcZone;IfcSpatialStructureElement;IfcSystem
Pset_ThermalLoadDesignCriteria,IfcSpatialStructureElement;IfcSystem;IfcBuilding;IfcZone
Pset_TransformerTypeCommon,IfcTransformerType
Pset_TransportElementCommon,IfcTransportElement
Pset_TransportElementElevator,IfcTransportElement
Pset_TubeBundleTypeCommon,IfcTubeBundleType
Pset_TubeBundleTypeFinned,IfcTubeBundleType
Pset_UnitaryEquipmentTypeAirConditioningUnit,IfcUnitaryEquipmentType
Pset_UnitaryEquipmentTypeAirHandler,IfcUnitaryEquipmentType
Pset_UtilityConsumption,IfcBuilding
Pset_ValvePHistory,IfcPerformanceHistory
Pset_ValveTypeAirRelease,IfcValveType
Pset_ValveTypeCommon,IfcValveType
Pset_ValveTypeDrawOffCock,IfcValveType
Pset_ValveTypeFaucet,IfcValveType
Pset_ValveTypeFlushing,IfcValveType
Pset_ValveTypeGasTap,IfcValveType
Pset_ValveTypeIsolating,IfcValveType
Pset_ValveTypeMixing,IfcValveType
Pset_ValveTypePressureReducing,IfcValveType
Pset_ValveTypePressureRelief,IfcValveType
Pset_VibrationIsolatorTypeCommon,IfcVibrationIsolatorType
Pset_WallCommon,IfcWall;IfcWallStandardCase
Pset_Warranty,IfcProduct;IfcSystem
Pset_WasteTerminalTypeFloorTrap,IfcWasteTerminalType
Pset_WasteTerminalTypeFloorWaste,IfcWasteTerminalType
Pset_WasteTerminalTypeGreaseInterceptor,IfcWasteTerminalType
Pset_WasteTerminalTypeGullySump,IfcWasteTerminalType
Pset_WasteTerminalTypeGullyTrap,IfcWasteTerminalType
Pset_WasteTerminalTypeOilInterceptor,IfcWasteTerminalType
Pset_WasteTerminalTypePetrolInterceptor,IfcWasteTerminalType
Pset_WasteTerminalTypeRoofDrain,IfcWasteTerminalType
Pset_WasteTerminalTypeWasteDisposalUnit,IfcWasteTerminalType
Pset_WasteTerminalTypeWasteTrap,IfcWasteTerminalType
Pset_WindowCommon,IfcWindow
Pset_ZoneCommon,IfcZone
