Name,ApplicableClasses
Pset_CargoCommon,IfcVehicleType
Pset_CessBetweenRails,IfcSlab
Pset_CessBetweenRails,IfcSlabType
Pset_ChillerPHistory,IfcChiller
Pset_ChillerTypeCommon,IfcChiller
Pset_ChillerTypeCommon,IfcChillerType
Pset_ChimneyCommon,IfcChimney
Pset_ChimneyCommon,IfcChimneyType
Pset_CivilElementCommon,IfcCivilElement
Pset_CivilElementCommon,IfcCivilElementType
Pset_CoaxialCable,IfcCableSegment
Pset_CoaxialCable,IfcCableSegmentType
Pset_CoilOccurrence,IfcCoil
Pset_CoilPHistory,IfcCoil
Pset_CoilTypeCommon,IfcCoil
Pset_CoilTypeCommon,IfcCoilType
Pset_CoilTypeHydronic,IfcCoil
Pset_CoilTypeHydronic,IfcCoilType
Pset_ColumnCommon,IfcColumn
Pset_ColumnCommon,IfcColumnType
Pset_CommunicationsAppliancePHistory,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeAntenna,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeAntenna,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeAutomaton,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeAutomaton,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeCommon,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeCommon,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeComputer,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeComputer,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeGateway,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeGateway,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeIntelligentPeripheral,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeIntelligentPeripheral,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeIpNetworkEquipment,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeIpNetworkEquipment,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeModem,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeModem,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeOpticalLineTerminal,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeOpticalLineTerminal,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeOpticalNetworkUnit,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeOpticalNetworkUnit,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeTelecommand,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeTelecommand,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeTelephonyExchange,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeTelephonyExchange,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeTransportEquipment,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeTransportEquipment,IfcCommunicationsApplianceType
Pset_CompressorPHistory,IfcCompressor
Pset_CompressorTypeCommon,IfcCompressor
Pset_CompressorTypeCommon,IfcCompressorType
Pset_ConcreteElementGeneral,IfcBeam
Pset_ConcreteElementGeneral,IfcBuildingElementProxy
Pset_ConcreteElementGeneral,IfcChimney
Pset_ConcreteElementGeneral,IfcCivilElement
Pset_ConcreteElementGeneral,IfcColumn
Pset_ConcreteElementGeneral,IfcFooting
Pset_ConcreteElementGeneral,IfcMember
Pset_ConcreteElementGeneral,IfcPile
Pset_ConcreteElementGeneral,IfcPlate
Pset_ConcreteElementGeneral,IfcRailing
Pset_ConcreteElementGeneral,IfcRampFlight
Pset_ConcreteElementGeneral,IfcRamp
Pset_ConcreteElementGeneral,IfcRoof
Pset_ConcreteElementGeneral,IfcSlab
Pset_ConcreteElementGeneral,IfcStairFlight
Pset_ConcreteElementGeneral,IfcStair
Pset_ConcreteElementGeneral,IfcWall
Pset_ConcreteElementGeneral,IfcBeamType
Pset_ConcreteElementGeneral,IfcBuildingElementProxyType
Pset_ConcreteElementGeneral,IfcChimneyType
Pset_ConcreteElementGeneral,IfcCivilElementType
Pset_ConcreteElementGeneral,IfcColumnType
Pset_ConcreteElementGeneral,IfcFootingType
Pset_ConcreteElementGeneral,IfcMemberType
Pset_ConcreteElementGeneral,IfcPileType
Pset_ConcreteElementGeneral,IfcPlateType
Pset_ConcreteElementGeneral,IfcRailingType
Pset_ConcreteElementGeneral,IfcRampFlightType
Pset_ConcreteElementGeneral,IfcRampType
Pset_ConcreteElementGeneral,IfcRoofType
Pset_ConcreteElementGeneral,IfcSlabType
Pset_ConcreteElementGeneral,IfcStairFlightType
Pset_ConcreteElementGeneral,IfcStairType
Pset_ConcreteElementGeneral,IfcWallType
Pset_CondenserPHistory,IfcCondenser
Pset_CondenserTypeCommon,IfcCondenser
Pset_CondenserTypeCommon,IfcCondenserType
Pset_Condition,IfcAsset
Pset_Condition,IfcElement
Pset_Condition,IfcSystem
Pset_Condition,IfcElementType
Pset_ConstructionAdministration,IfcElement
Pset_ConstructionAdministration,IfcElementType
Pset_ConstructionOccurence,IfcElement
Pset_ConstructionResource,IfcConstructionResource
Pset_ConstructionResource,IfcConstructionResourceType
Pset_ControllerPHistory,IfcController
Pset_ControllerTypeCommon,IfcController
Pset_ControllerTypeCommon,IfcControllerType
Pset_ControllerTypeFloating,IfcController
Pset_ControllerTypeFloating,IfcControllerType
Pset_ControllerTypeMultiPosition,IfcController
Pset_ControllerTypeMultiPosition,IfcControllerType
Pset_ControllerTypeProgrammable,IfcController
Pset_ControllerTypeProgrammable,IfcControllerType
Pset_ControllerTypeProportional,IfcController
