Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_PipeSegmentBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcPipeSegment', 'IfcPipeSegmentType']","IfcPipeSegment,IfcPipeSegmentType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'FootPrintArea', 'property_type': 'IfcQuantityArea'}]"
Qto_PlateBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcPlate', 'IfcPlateType']","IfcPlate,IfcPlateType","[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ProjectionElementBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcProjectionElement'],IfcProjectionElement,"[{'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}]"
Qto_ProtectiveDeviceBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcProtectiveDevice', 'IfcProtectiveDeviceType']","IfcProtectiveDevice,IfcProtectiveDeviceType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ProtectiveDeviceTrippingUnitBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcProtectiveDeviceTrippingUnit', 'IfcProtectiveDeviceTrippingUnitType']","IfcProtectiveDeviceTrippingUnit,IfcProtectiveDeviceTrippingUnitType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_PumpBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcPump', 'IfcPumpType']","IfcPump,IfcPumpType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_RailBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcRail', 'IfcRailType']","IfcRail,IfcRailType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'Weight', 'property_type': 'IfcQuantityWeight'}]"
Qto_RailingBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcRailing', 'IfcRailingType']","IfcRailing,IfcRailingType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}]"
Qto_RampFlightBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcRampFlight', 'IfcRampFlightType']","IfcRampFlight,IfcRampFlightType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_ReinforcedSoilBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcReinforcedSoil'],IfcReinforcedSoil,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Depth', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}]"
