Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_WindowBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcWindow'],IfcWindow,"[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Area', 'property_type': 'IfcQuantityArea'}]"
Qto_DistributionChamberElementBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcDistributionChamberElement'],IfcDistributionChamberElement,"[{'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_ActuatorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcActuator'],IfcActuator,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_AlarmBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcAlarm'],IfcAlarm,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ControllerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcController'],IfcController,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_FlowInstrumentBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcFlowInstrument'],IfcFlowInstrument,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SensorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSensor'],IfcSensor,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_UnitaryControlElementBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcUnitaryControlElement'],IfcUnitaryControlElement,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ConstructionEquipmentResourceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcConstructionEquipmentResource'],IfcConstructionEquipmentResource,"[{'property_name': 'UsageTime', 'property_type': 'IfcQuantityTime'}, {'property_name': 'OperatingTime', 'property_type': 'IfcQuantityTime'}]"
Qto_ConstructionMaterialResourceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcConstructionMaterialResource'],IfcConstructionMaterialResource,"[{'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_LaborResourceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcLaborResource'],IfcLaborResource,"[{'property_name': 'StandardWork', 'property_type': 'IfcQuantityTime'}, {'property_name': 'OvertimeWork', 'property_type': 'IfcQuantityTime'}]"
Qto_AudioVisualApplianceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcAudioVisualAppliance'],IfcAudioVisualAppliance,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
